espera_promedio,pct_cumple_sla,utilizacion_teorica,utilizacion_simulada,replica
45.81834705098131,81.11697871659466,56.70894152782435,56.27331317838743,1
32.77165214473537,85.51768282925268,56.70894152782435,55.22428240304763,2
43.04721237650698,82.26916306609058,56.70894152782435,57.30668610477245,3
39.17606760120271,82.44519123059689,56.70894152782435,57.92865236419233,4
48.271153731378924,80.41286605856938,56.70894152782435,59.88914092618484,5
44.04733055035823,82.22115538486158,56.70894152782435,56.1873053178377,6
43.83448401804189,83.10129620739318,56.70894152782435,56.21393343390101,7
35.848682313783605,84.68554968795007,56.70894152782435,54.95091428241542,8
45.99976417561705,81.37301968314931,56.70894152782435,57.520574453736884,9
60.37897079660652,79.82077132341175,56.70894152782435,56.55727238994408,10
46.199552592553744,82.31717074731957,56.70894152782435,55.440237947521474,11
42.0038604945671,82.63722195551289,56.70894152782435,57.44899125237559,12
45.59516550492751,81.70907345175227,56.70894152782435,56.6048527760615,13
41.342754411808656,82.60521683469355,56.70894152782435,56.726123393038264,14
54.3850209292444,81.54904784765561,56.70894152782435,56.24221993629601,15
37.66489674453435,84.28548567770844,56.70894152782435,54.645645819096465,16
44.38063888994601,82.09313490158425,56.70894152782435,56.82364293480665,17
37.839663306353195,83.93342934869578,56.70894152782435,55.40442859356298,18
56.301432894089345,79.77276364218275,56.70894152782435,58.2698354601608,19
48.68362438457381,81.5170427268363,56.70894152782435,57.73349242973003,20
36.729012964582054,83.45335253640582,56.70894152782435,54.62857243337512,21
42.01484860791478,82.92526804288686,56.70894152782435,56.188211763059805,22
46.13066800899901,82.44519123059689,56.70894152782435,56.87034230824036,23
33.24424430460023,84.89358297327573,56.70894152782435,55.930491645543235,24
40.7266273958925,83.53336533845416,56.70894152782435,56.927058282146334,25
35.33701033271424,84.31749079852776,56.70894152782435,56.52671997729226,26
46.04891927169061,81.29300688110096,56.70894152782435,57.457882104548496,27
40.460072078810384,83.08529364698352,56.70894152782435,55.780811846645115,28
43.11943517396201,83.1813090094415,56.70894152782435,56.57504330479637,29
38.86320153122181,83.11729876780285,56.70894152782435,56.62246408805637,30
